The input pid I am passing is 24263
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
The x-y position of the drone is: 0.000000 0.000000
The x-y position of the drone is: 20.000000 20.000000
